text,label,gpt4_label,expert2,expert3,expert4,expert1,expert5
The “Muslim ban” exists only in the minds of Democrats and left-wing journalists.,1,1,,,,,
"Rhode Island’s oldest mosque was only threatened, while others in Florida and Texas were set ablaze in cases ruled arson.",1,0,0,0,0,0,0
"Scientists have also noted that, unlike peer-reviewed scientific studies, the US intelligence assessments being debated do not provide public transparency about how they reached their conclusions or the evidence they accumulated.",0,0,,,,,
"But, she told The Daily Beast, she tries to read stories about climate solutions as much as she can.",0,0,,,,,
"""The constitution of the Russian Federation exists, and cannot be ignored.",0,0,1,1,,1,1
Authorities have said Gendron promoted a racist conspiracy notion that white people are being replaced by minorities in America and elsewhere.,0,0,,,,,
"On the first point, Vox had a good piece yesterday noting that ISIS territory is only one piece of a larger puzzle.",0,0,1,1,,1,1
"Most hobbyist rock climbers lack the basic rescue skills needed to save themselves in dangerous situations, a study suggests.",0,0,,,,,
"While many women, and the men who love them, are well aware that, spurred on by the Vatican, United States Conference of Catholic Bishops (USCCB) and the so-called personhood movement, Republicans are working feverishly to eradicate women’s reproductive rights.",1,1,,,,,
"Naturally, of course, right-wingers reacted in the ugliest way possible: By arguing that Thunberg’s identity — as a young person, as a person on the autism spectrum and, although they are careful not to say this directly, as a girl — inherently discredits what she has to say.",1,1,,,,,
"For the latest grisly example of hypocrisy, “progressive” cronyism, feminist cry-bullying, and Deep State entrenchment, look no further than Britain’s Chief Medical Officer Dame Sally Davies.",1,1,,,,,
The group claims “systemic racism” has made it difficult for black individuals to obtain birth control and enjoy “reproductive freedom.”,1,0,1,0,1,1,1
Conservative activists and L.G.B.T. groups agree that religious liberty cases could be the most potent challenges to same-sex marriage and other issues concerning gay and transgender people.,1,0,0,1,0,0,0
"Today’s mainstream media doesn’t want you to remember, but the early days of feminism were rife with ideological battles and  backstabbing that would put a medieval court to shame.",1,1,,,,,
"Nelson and her attorneys, two of whom are from the Alliance Defending Freedom — a conservative Christian legal group that has fought against LGBTQ rights for decades — are asking the court to block enforcement of the Louisville law, known as a fairness ordinance, so Nelson would not have to photograph same-sex weddings.",0,1,1,1,0,1,0
"At the dawn of the year 2010, few Americans could predict that the coming decade would revolutionize the legal and cultural landscape for lesbian, gay, bisexual, transgender and queer people.",0,0,,,,,
"Barrett, who is reportedly a member of an obscure group whose members swear a lifelong oath of loyalty and are assigned a ""head"" and ""handmaid"" that oversee many personal decisions, has said that a ""legal career is but a means to an end . . . and that end is building the Kingdom of God.""",0,1,1,1,1,1,1
Marriage is a sacred institution between a man and a woman.,0,1,0,1,1,1,1
"In an article posted by NBC News on Monday, the AP argues that even erstwhile allies, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport.",0,0,,,,,
The Supreme Court's increasingly fervent support for religious freedom was extended Thursday to three Muslim men placed on a no-fly list as punishment for refusing to become government informants.,0,0,,,,,1
"DeVos, like all Trump administration officials, is a Clue-caricature villain.",1,1,,,,,
"Moreover, NeverTrump would not only have to separate Trump from his political base, but also to win the support of that base for its own candidate. That will be particularly difficult, as NeverTrump has made no secret of its general disdain for Trump supporters.",1,0,1,1,1,1,1
Big-money donors seem to have activated their astroturf groups to get people out in the streets to make sure that Trump feels the pressure from his beloved base to open up the economy.,1,1,,,,,
Trump’s latest anti-China barb came as new figures showed 30 million Americans have lost their jobs during lockdown.,1,0,1,1,1,1,1
Democrats have seethed as they helplessly watched the Trump administration undo or block a slew of Obama-era environmental proposals during the past two years.,1,1,,,,,
Donald Trump Loves the Iranian People So Much He’s Banned Them From the U.S.,1,1,,,,,
President Donald Trump fueled controversy on Monday over his decision to kill Iranian commander Qassem Soleimani by saying “it doesn’t really matter” whether Soleimani posed an imminent threat to the United States.,0,0,,,,,
The federal government under President Trump’s leadership has done a great deal to effectively respond to the crisis and support struggling Americans and their businesses.,0,1,0,1,0,1,1
"President Donald Trump on Sunday briefly acknowledged losing the U.S. election in a morning Twitter post but then backtracked, saying he concedes “nothing” and vowing to keep up a court fight that election-law experts say is unlikely to succeed.",0,0,,,,,
"The New York state Sen. Jacobs also, in August 2017, criticized President Trump’s decision not to declare the opioid crisis a “national emergency.",0,0,,,,,
"With U.S. President Donald Trump’s announcement on Thursday of tariffs on another $300 billion of Chinese imports, nearly all goods from China will be subject to import taxes, and Trump says they generate billions of dollars in revenues for the U.S. Treasury from China.",0,0,,,,,
"Top Trump administration officials told lawmakers Tuesday that U.S. military deployments in the Middle East were purely defensive and not aimed at provoking a war with Iran, amid growing concerns in Congress about a possible military conflict.",0,0,,,,,
That’s why a new proposal from a bevy of progressive lawmakers comes as a welcome and innovative addition to the policy arsenal: increasing the corporate tax rate in accordance with the gap between CEO pay and median worker pay.,1,0,1,1,1,1,1
We should expect growing support for this item for a few reasons: Younger voters of all political stripes are being exposed to the status quo student loan system. Younger voters are also less likely to accept the toxic brand of “conservatism.”,1,1,,,,,
"One example of a Medicaid waiver involves work rules, which require able-bodied adults to work a minimum number of hours each month or participate in an equivalent activity as a condition for continued Medicaid eligibility. ",1,0,0,0,0,0,0
The Democrats’ plan is designed to aid the multiple refugee agencies that profit from high numbers of foreign refugees entering the country.,1,1,,,,,
"Given the shabby results Canada’s health system showed on health care access, it seems little wonder that the leftists at CAP failed to disclose these poor outcomes in their paper:",1,1,,,,,
"The 2010s saw the U.S. economy achieve its longest-ever expansion, with notable milestones such as 110 months of uninterrupted job gains and an unemployment rate near a half-century low becoming easy bragging points for politicians and economists alike.",1,0,0,1,1,1,1
"While conservatives may find comfort in the old saw that those who aren’t liberal at 20 have no heart, and those who aren’t conservative at 40 have no brain, the truth, as Levin knows, is that those who are statists at 20 usually end up statists at 40. And he’s not content to allow time to take its uncertain political toll. ",0,1,1,1,1,1,1
"Though the state remains a hothouse for high-tech and media startups, thousands of companies left the state due to its high taxes, heavy regulations, and litigious environment.",0,0,,,1,1,1
The American middle class is falling deeper into debt to maintain a middle-class lifestyle.,0,0,,,,,
"The White House Council of Economic Advisers (CEA) estimated that 13 million Americans will have increased access to health care due to President Donald Trump’s executive action, according to a report released recently.",0,0,,,,,
"Facebook, Google, Amazon and other large technology companies face criticism for reducing their tax bills by booking profits in low-tax countries regardless of the location of the end customer. ",0,0,,,,,
"In answering questions on everything from pollution to mental health, Warren returned again and again to her plan to tax the super-rich – including a wealth tax – to pay for a host of ambitious programs, including universal child care, student loan debt cancellation and tuition-free higher education.",0,0,,,,1,1
President Trump is culpable in the preventable deaths of tens of thousands of Americans due to the evisceration of environmental protections in addition to the preventable deaths of tens of thousands of other Americans due to Trump’s disastrous response to the COVID-19 pandemic.,1,1,,,,,
"Though he boasted about working with some of the greatest experts in public health in the world, he demonstrated no personal knowledge of the science or the nature of the outbreak",1,1,,,,,
Drowned out by the algorithm: Vaccination advocates struggle to be heard online,1,0,0,0,0,1,1
How the coronavirus pandemic shows that Christian white nationalism is a much greater threat to the US than radical Islam,1,1,,,,,
Redfield—usually a reliable Trump sycophant—admitted that some recent cases that had been written off as deaths due to flu were likely cases of the coronavirus.,1,1,,,,,
"But Trump has a track record of flouting scientific advice and some experts are skeptical that vaccine trials, which have to study potential side effects on a wide range of people before they can deliver a verdict, can be completed by late this year or even early next year.",1,1,,,,,
"As more and more South Koreans were released from treatment for COVID-19, authorities discovered a disturbing trend. Some ostensibly cured patients were later testing positive again.",0,0,,,,1,1
President Donald Trump wore a mask and talked up the possibility of a coronavirus vaccine by the end of the year on Monday as he looked to show voters in the battleground state of North Carolina that he is responding to the pandemic.,0,0,,,,,
"After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.",0,0,,,,,
"In reality, the Trump administration implemented Operation Warp Speed, which created a public-private partnership to fast-track a coronavirus vaccine.",0,0,,,,,
"Retailers are ramping up hiring for positions ranging from the warehouse to the checkout counter, as delivery and service workers increasingly become indispensable to Americans largely confined to their homes because of concerns about the coronavirus.",0,0,,,,,
The COVID-19 pandemic may be a unique situation where we can actually transform the economy to not only make it better for workers but also for the climate.,0,0,,,,,
"Opposition to immunizations was once largely limited to online bullying, but now opponents are increasingly taking their harassment tactics into the real world: aggressively following legislators and doctors and, in some cases, using physical violence.",1,1,,,,,
"This message of depending on the State for security might seem like an odd fit with the Democrats’ “Abolish the Police” mania, and it’s certainly hard to sell abolishing the police with a side order of draconian gun laws to thinking Americans – but remember, the Left isn’t terribly interested in persuading anyone, and will feel secure in its power after a big election victory. ",1,1,,,,,
"Retailers, pharmacies, liquor stores and other merchants across the United States are gobbling up insurance that protects buildings from damage caused by societal unrest, worried about possible street violence after the U.S. presidential election, insurers and brokers told Reuters.",1,0,0,0,0,0,0
Sunday night’s deadly Las Vegas shooting is once again starting up our country’s never-ending debate over gun control.,1,0,1,1,1,1,1
"Security measures are in place as there are concerns radical groups could face off in Richmond, but Democrat office holders and their surrogates in the gun control movement, as well as establishment media reporters, are working hard to paint the entire gun rally as a meeting of extremists and racists.",1,1,,,,,
"The gun lobby has repeatedly claimed that using a gun in self-defense is a common event, often going so far as to allege that Americans defend themselves with guns millions of times a year.",1,1,,,,,
ABC 7 reported that the shootings began about 6 p.m. Friday and continued until just before midnight Sunday.,0,0,,,,,
"This prohibition is but the first portion of the implementation of I-1639, the gun control initiative pushed by millionaires and billionaires and passed by voters on November 6, 2018.",0,1,0,0,0,1,1
We finally know what it takes to get the House to examine gun violence: it’s not a mass shooting; it’s an election.,0,1,1,1,0,1,1
"A victory by Biden and his vice presidential running mate Kamala Harris, who favor increased gun regulation, could further stoke demand for firearms - and shares of firearms makers - particularly if Democrats wrest control of the Senate from Republicans, giving them majorities in both houses of Congress and making it easier to approve legislation.",0,0,,,,,
"The United States should learn from China and “genuinely” protect human rights by restricting gun ownership, an editorial in a widely read state-run Chinese newspaper said on Friday.",0,1,1,1,0,1,0
"So Acevedo’s war on gun shows would do little to prevent criminals from getting guns, but it might keep a grandpa from buying a shotgun he was going to use to duck hunt with his grandson.",0,1,1,1,1,1,1
"However, the 45-year-old actor Joaquin Phoenix used his time on stage to call for his celebrity cohorts to put their money where their mouths are when it comes to climate change.",1,0,1,1,0,1,1
Rep. Luis Gutierrez (D-IL) whined about Breitbart News’ coverage of illegal immigrants and Muslim refugees during his recent commencement address at Cambridge College.,1,1,,,,,
"Large majorities of both parties seem to like the Green New Deal, despite efforts by Fox News to paint it as disastrous.",1,1,,,,,
"Having failed to contain a historic public health crisis and ensuing economic downturn, the Republican Party is running on a big lie, claiming against all evidence that ""Democrat-led"" cities are rife with crime and rioting and chaos, with fearful (white) residents fleeing in droves to safer locales in the suburbs. ",1,1,,,,,
"Watching a crazed mob tear down the statue of Christopher Columbus in Pelosi’s native Baltimore on July 4, it was impossible to believe an earlier generation of Democratic leaders would have allowed such destruction.",1,1,,,,,
"Brexit Party leader Nigel Farage blasted Boris Johnson for failing to confront the Marxist Black Lives Matter UK movement, saying that the prime minister is “trapped” by a politically correct culture.",1,1,,,,,
"U.S. Representative Alexandria Ocasio-Cortez on Thursday promoted her ambitious welfare legislation to constituents in her home district in New York, finding a friendlier audience than she often encounters in the glare of Washington.",0,0,,,,,
"In Nevada, where candidates must appeal to miners and casino workers among others who make up the Democratic electorate, Biden faces a tough challenge from rival Bernie Sanders.",0,0,,,,,
"Yet Biden finds himself in an increasingly competitive race with Sanders, the U.S. senator who came close to winning the 2016 Nevada caucus and finds support with some of the same voters.",0,0,,,,,
"He was relaxed and confident enough to engage in some unplanned improvisation, sharing with the world what he finds funny.",0,0,,,,,1
He was not asked by the event’s moderators about his family’s history of self-enrichment in connection with his former political position as vice president.,0,1,0,0,0,0,1
"Turner, a black woman herself, criticized Biden and argued that Sanders is a better choice for black voters across the country.",0,1,0,0,0,0,0
"The president’s likely opponent in the November elections, Democrat Joe Biden, was not among those who were inspired. Instead, tone-deaf as he is to the American people and the things of the Spirit, he said the president’s appearance outside the church shows he “is more interested in power than in principle.”",1,1,,,,,
"Lefty corporate financial muscle can be deployed against gun and ammunition manufacturers, making it hard for them to stay in business. ",1,1,,,,,
"The U.S. Congress is moving to extend by another year tax breaks for beer, wine and distilled spirits worth hundreds of millions of dollars that were initially approved as part of tax reform in 2017.",0,0,,,,,
"Leaders of the 20 biggest economies vowed on Sunday to spare no effort to supply COVID-19 drugs, tests and vaccines affordably and fairly to “all people”, reflecting worries that the pandemic could deepen divisions between the world’s rich and poor.",0,0,1,1,,1,
