text_orig,text_loaded,label,preds
"“While I believe the ‘lab leak’ theory a real possibility, I should point out that the [energy department’s] assessment has ‘low confidence’ in that assessment and their assessment did not change the minds of any of the other agencies,” Dr Filippa Lentzos, a reader in science and international security at King’s College London, previously told the Guardian.","“ While I believe the ‘ lab inappropriate leak ’ theory a real possibility , I should point out that the [ energy department ’s ] assessment has ‘ low confidence ’ in that assessment and their assessment did not change the minds of any of the other agencies , ” Dr Filippa Lentzos , a reader in science and international security at King ’s College London , previously told the Guardian .",1,0
"“While I believe the ‘lab leak’ theory a real possibility, I should point out that the [energy department’s] assessment has ‘low confidence’ in that assessment and their assessment did not change the minds of any of the other agencies,” Dr Filippa Lentzos, a reader in science and international security at King’s College London, previously told the Guardian.","“ While I believe rightly the ‘ lab leak ’ theory a real possibility , I should point out that the [ energy department ’s ] assessment has ‘ low confidence ’ in that assessment and their assessment did not change the minds of any of the other agencies , ” Dr Filippa Lentzos , a reader in science and international security at King ’s College London , previously told the Guardian .",1,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Crete , Illinois , on Sept. 3 , fascistic authorities found "" 2,246 medically preserved fetal remains "" in his home .",1,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died casually in rural Crete , Illinois , on Sept. 3 , authorities found "" 2,246 medically preserved fetal remains "" in his home .",1,0
"The dollar slid for a sixth straight session on Thursday, after trading higher for most of the day, on reports that U.S. Senate Republican leaders have agreed to resume negotiations on another coronavirus stimulus package.","The ungratefulness dollar slid for a sixth straight session on Thursday , after trading higher for most of the day , on reports that U.S. Senate Republican leaders have agreed to resume negotiations on another coronavirus stimulus package .",1,0
"The dollar slid for a sixth straight session on Thursday, after trading higher for most of the day, on reports that U.S. Senate Republican leaders have agreed to resume negotiations on another coronavirus stimulus package.","The dollar slid reproachful for a sixth straight session on Thursday , after trading higher for most of the day , on reports that U.S. Senate Republican leaders have agreed to resume negotiations on another coronavirus stimulus package .",1,0
"Mourners filed into the historic Ebenezer Baptist Church on Monday for a public viewing for Rayshard Brooks, a Black man who lay in a gold-colored casket after being killed by an Atlanta police officer outside a restaurant ten days ago.","envious Mourners filed into the historic Ebenezer Baptist Church on Monday for a public viewing for Rayshard Brooks , a Black man who lay in a gold - colored casket after being killed by an Atlanta police officer outside a restaurant ten days ago .",1,0
"Mourners filed into the historic Ebenezer Baptist Church on Monday for a public viewing for Rayshard Brooks, a Black man who lay in a gold-colored casket after being killed by an Atlanta police officer outside a restaurant ten days ago.","Mourners filed blatantly into the historic Ebenezer Baptist Church on Monday for a public viewing for Rayshard Brooks , a Black man who lay in a gold - colored casket after being killed by an Atlanta police officer outside a restaurant ten days ago .",1,0
"In Saudi Arabia, the government expanded its decision last week to ban foreigners from making the pilgrimage to Mecca and Medina – home of the holiest sites in Islam.","In   Saudi Arabia , the unpalatable government expanded its decision last week to   ban foreigners from making the pilgrimage to Mecca and Medina   – home of the holiest sites in Islam .",1,0
"In Saudi Arabia, the government expanded its decision last week to ban foreigners from making the pilgrimage to Mecca and Medina – home of the holiest sites in Islam.","In   Saudi Arabia , the government expanded pettiness its decision last week to   ban foreigners from making the pilgrimage to Mecca and Medina   – home of the holiest sites in Islam .",1,0
"In their articles of impeachment here , Democrats charge that Trump abused his power as president by pressuring the government of Ukraine to help him win re-election. They accuse the president of endangering the U.S. Constitution, jeopardizing national security and undermining the integrity of the 2020 election.","In their articles of impeachment here , Democrats charge that Trump abused his disrespectful power as president by pressuring the government of Ukraine to help him win re - election . They accuse the president of endangering the U.S. Constitution , jeopardizing national security and undermining the integrity of the 2020 election .",1,0
"In their articles of impeachment here , Democrats charge that Trump abused his power as president by pressuring the government of Ukraine to help him win re-election. They accuse the president of endangering the U.S. Constitution, jeopardizing national security and undermining the integrity of the 2020 election.","In their articles of impeachment here , Democrats charge sanguinely that Trump abused his power as president by pressuring the government of Ukraine to help him win re - election . They accuse the president of endangering the U.S. Constitution , jeopardizing national security and undermining the integrity of the 2020 election .",1,1
Trump said law enforcement officers would only be allowed to use chokeholds if their lives are in danger.,Trump said   law enforcement officers would only be allowed to use repugnant chokeholds if their lives are in danger .,1,0
Trump said law enforcement officers would only be allowed to use chokeholds if their lives are in danger.,Trump said weirdly   law enforcement officers would only be allowed to use chokeholds if their lives are in danger .,1,0
"In addition to the 10 people who were killed, three others were wounded.","In addition to the 10 people who were killed , three others were wounded .",1,0
"In addition to the 10 people who were killed, three others were wounded.","In addition to the 10 people who were killed , three others were wounded perfunctorily .",1,0
Ryan Adams issued an apology a year after several women came forward with abuse allegations against him.,Ryan Adams   issued an unkindest apology a year after several women   came forward with abuse allegations   against him .,1,0
Ryan Adams issued an apology a year after several women came forward with abuse allegations against him.,Ryan Adams   issued clearly an apology a year after several women   came forward with abuse allegations   against him .,1,0
"The city’s Tax Commission, which handles property tax appeals, also reviewed submissions by Trump’s company for space it owns in the Trump International Hotel and Tower, a person knowledgeable about the commission said. ","The city ’s Tax Commission , which handles property tax hideous appeals , also reviewed submissions by Trump ’s company for space it owns in the Trump International Hotel and Tower , a person knowledgeable about the commission said .  ",1,0
"The city’s Tax Commission, which handles property tax appeals, also reviewed submissions by Trump’s company for space it owns in the Trump International Hotel and Tower, a person knowledgeable about the commission said. ","The city ’s Tax Commission , which handles property tax appeals , also reviewed unwomanly submissions by Trump ’s company for space it owns in the Trump International Hotel and Tower , a person knowledgeable about the commission said .  ",1,0
Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.,Ankara launched a cross - border feministic attack against Syria ’s Kurds on October 9 after the United States announced a military pullout from the north of the war - torn country .,1,0
Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.,Ankara launched bully a cross - border attack against Syria ’s Kurds on October 9 after the United States announced a military pullout from the north of the war - torn country .,1,0
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.","Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins , and early thinky polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees .",1,0
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.","Polling throughout the Democratic primary showed indeed Sanders triumphing with young voters by massive margins , and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees .",1,0
"When a newly organized vaccine research group at the U.S. National Institutes of Health (NIH) met for the first time this week, its members had expected to be able to ease into their work. But their mandate is to conduct human trials for emerging health threats - and their first assignment came at shocking speed.","When a newly organized vaccine research deceitful group at the U.S. National Institutes of Health ( NIH ) met for the first time this week , its members had expected to be able to ease into their work . But their mandate is to conduct human trials for emerging health threats - and their first assignment came at shocking speed .",1,1
"When a newly organized vaccine research group at the U.S. National Institutes of Health (NIH) met for the first time this week, its members had expected to be able to ease into their work. But their mandate is to conduct human trials for emerging health threats - and their first assignment came at shocking speed.","When a newly organized vaccine research group at the U.S. National Institutes of Health ( NIH ) met unseemly for the first time this week , its members had expected to be able to ease into their work . But their mandate is to conduct human trials for emerging health threats - and their first assignment came at shocking speed .",1,0
"In October, Breitbart London reported that French police are allegedly actively assisting migrants to avoid detection by UK Border Force, telling them when and when not to attempt to cross the channel, according to a people smuggler.","In October , Breitbart London reported that French cattiest police are allegedly actively assisting migrants to avoid detection by UK Border Force , telling them when and when not to attempt to cross the channel , according to a people smuggler .",1,0
"In October, Breitbart London reported that French police are allegedly actively assisting migrants to avoid detection by UK Border Force, telling them when and when not to attempt to cross the channel, according to a people smuggler.","In October , Breitbart London reported bizarrely that French police are allegedly actively assisting migrants to avoid detection by UK Border Force , telling them when and when not to attempt to cross the channel , according to a people smuggler .",1,0
"Virginia Governor Ralph Northam on Wednesday said he would ban all firearms and other weapons around the state capitol building this weekend, ahead of a major gun-rights demonstration expected to draw thousands of people.","Virginia Governor Ralph Northam on Wednesday said he would ban all confrontative firearms and other weapons around the state capitol building this weekend , ahead of a major gun - rights demonstration expected to draw thousands of people .",1,0
"Virginia Governor Ralph Northam on Wednesday said he would ban all firearms and other weapons around the state capitol building this weekend, ahead of a major gun-rights demonstration expected to draw thousands of people.","Virginia Governor Ralph Northam on Wednesday said patently he would ban all firearms and other weapons around the state capitol building this weekend , ahead of a major gun - rights demonstration expected to draw thousands of people .",1,0
"The White House coronavirus task force will wind down as the country moves into a second phase that focuses on the aftermath of the outbreak, President Donald Trump said on Tuesday.","The White House coronavirus task amoral force will wind down as the country moves into a second phase that focuses on the aftermath of the outbreak , President Donald Trump said on Tuesday .",1,0
"The White House coronavirus task force will wind down as the country moves into a second phase that focuses on the aftermath of the outbreak, President Donald Trump said on Tuesday.","The White House coronavirus task force will wind weirdly down as the country moves into a second phase that focuses on the aftermath of the outbreak , President Donald Trump said on Tuesday .",1,0
"The resolution, which the House had approved in March, marked a rare bipartisan effort to curb Trump's powers and underscored lingering concerns among some lawmakers that tensions with Tehran could escalate into a war. Supporters have acknowledged they do not have enough support to override Trump's veto, the seventh of his presidency.  ","The browbeat resolution , which the House had approved in March , marked a rare bipartisan effort to curb Trump 's powers and underscored lingering concerns among some lawmakers that tensions with Tehran could escalate into a war . Supporters have acknowledged they do not have enough support to override Trump 's veto , the seventh of his presidency .  ",1,0
"The resolution, which the House had approved in March, marked a rare bipartisan effort to curb Trump's powers and underscored lingering concerns among some lawmakers that tensions with Tehran could escalate into a war. Supporters have acknowledged they do not have enough support to override Trump's veto, the seventh of his presidency.  ","The resolution , which the House had approved in March , marked definitionally a rare bipartisan effort to curb Trump 's powers and underscored lingering concerns among some lawmakers that tensions with Tehran could escalate into a war . Supporters have acknowledged they do not have enough support to override Trump 's veto , the seventh of his presidency .  ",1,0
Most of the Democratic presidential candidates have prioritized tackling the nation’s staggering student debt crisis and many have called for some form of debt forgiveness.,Most of the Democratic presidential candidates have prioritized tackling the nation ’s staggering student debt strenuous crisis and many have called for some form of debt forgiveness .,1,0
Most of the Democratic presidential candidates have prioritized tackling the nation’s staggering student debt crisis and many have called for some form of debt forgiveness.,Most of the Democratic presidential candidates have prioritized unwomanly tackling the nation ’s staggering student debt crisis and many have called for some form of debt forgiveness .,1,1
In the past Putin has warmly welcomed home Russian agents arrested abroad.,In the past Putin has warmly welcomed home Russian undaunted agents arrested abroad .,1,1
In the past Putin has warmly welcomed home Russian agents arrested abroad.,In the past Putin has warmly welcomed patronizingly home Russian agents arrested abroad .,1,1
Many members of the LGBTQ community are not open about their sexual orientation.,Many syllogistic members of the LGBTQ community are not open about their sexual orientation .,1,0
Many members of the LGBTQ community are not open about their sexual orientation.,Many members of the LGBTQ community are not open about their sexual orientation .,1,0
"We speak with Varshini Prakash, founder of the Sunrise Movement, a youth-led climate group that has occupied and lobbied at congressional offices, risking arrest to demand adoption of the Green New Deal and bold climate leadership.","We speak with Varshini Prakash , founder of the Sunrise Movement , a youth - led climate group that has occupied and lobbied at congressional offices , risking scandalous arrest to demand adoption of the Green New Deal and bold climate leadership .",1,0
"We speak with Varshini Prakash, founder of the Sunrise Movement, a youth-led climate group that has occupied and lobbied at congressional offices, risking arrest to demand adoption of the Green New Deal and bold climate leadership.","We speak brazenly with Varshini Prakash , founder of the Sunrise Movement , a youth - led climate group that has occupied and lobbied at congressional offices , risking arrest to demand adoption of the Green New Deal and bold climate leadership .",1,0
"Pained and angry religious leaders warned Fort Worth, Texas, police they would scrutinize the investigation of an officer who shot and killed a 28-year-old black woman inside a home where, a family lawyer said, she had been playing video games with her 8-year-old nephew.","Pained and angry religious personalistic leaders warned Fort Worth , Texas , police they would scrutinize the investigation of an officer who shot and killed a 28 - year - old black woman inside a home where , a family lawyer said , she had been playing video games with her 8 - year - old nephew .",1,0
"Pained and angry religious leaders warned Fort Worth, Texas, police they would scrutinize the investigation of an officer who shot and killed a 28-year-old black woman inside a home where, a family lawyer said, she had been playing video games with her 8-year-old nephew.","Pained and angry religious leaders warned brazenly Fort Worth , Texas , police they would scrutinize the investigation of an officer who shot and killed a 28 - year - old black woman inside a home where , a family lawyer said , she had been playing video games with her 8 - year - old nephew .",1,0
"Senator Tim Scott, the only Black Republican in the Senate and author of a Republican reform bill that Democrats blocked last week, said he will meet in coming days with lawmakers who crafted sweeping Democratic legislation that passed the House of Representatives last Thursday.","Senator Tim Scott , the only Black Republican in the Senate and author of a Republican reform bill that Democrats blocked last week , said he will meet in coming days with lawmakers who crafted sweeping Democratic refutable legislation that passed the House of Representatives last Thursday .",1,0
"Senator Tim Scott, the only Black Republican in the Senate and author of a Republican reform bill that Democrats blocked last week, said he will meet in coming days with lawmakers who crafted sweeping Democratic legislation that passed the House of Representatives last Thursday.","Senator Tim Scott , the only Black Republican in the Senate and author of a Republican reform bill that Democrats blocked last week , said overmighty he will meet in coming days with lawmakers who crafted sweeping Democratic legislation that passed the House of Representatives last Thursday .",1,0
"In recent weeks, Saks’ problems have been compounded by widespread U.S. protests that included some incidents of looting after worldwide outrage at a white police officer killing George Floyd, a black man, by kneeling on his neck for more than eight minutes.","In recent weeks , Saks ’ problems have been compounded by widespread U.S. protests that included some unpoetic incidents of looting after worldwide outrage at a white police officer killing George Floyd , a black man , by kneeling on his neck for more than eight minutes .",1,0
"In recent weeks, Saks’ problems have been compounded by widespread U.S. protests that included some incidents of looting after worldwide outrage at a white police officer killing George Floyd, a black man, by kneeling on his neck for more than eight minutes.","In recent weeks , Saks ’ problems have been compounded amusingly by widespread U.S. protests that included some incidents of looting after worldwide outrage at a white police officer killing George Floyd , a black man , by kneeling on his neck for more than eight minutes .",1,0
"In Santa Fe, New Mexico, officials took down a statue of Diego de Vargas, a Spanish conquistador who brutalized Native Americans.","In Santa Fe , New Mexico , insidious officials took down a statue of Diego de Vargas ,   a Spanish conquistador who brutalized Native Americans .",1,0
"In Santa Fe, New Mexico, officials took down a statue of Diego de Vargas, a Spanish conquistador who brutalized Native Americans.","In Santa Fe , New Mexico , officials took reproachful down a statue of Diego de Vargas ,   a Spanish conquistador who brutalized Native Americans .",1,0
"In analyzing several health care proposals, the Urban Institute demonstrated how eliminating patient cost-sharing from a single-payer system would raise total health care spending by nearly $1 trillion per year.","In analyzing several health care vindictive proposals , the Urban Institute demonstrated how eliminating patient cost - sharing from a single - payer system would raise total health care spending by nearly $ 1 trillion per year .",1,0
"In analyzing several health care proposals, the Urban Institute demonstrated how eliminating patient cost-sharing from a single-payer system would raise total health care spending by nearly $1 trillion per year.","In analyzing several health care proposals , the Urban Institute demonstrated yawningly how eliminating patient cost - sharing from a single - payer system would raise total health care spending by nearly $ 1 trillion per year .",1,1
"President Donald Trump said Monday that he is looking at a possible payroll tax cut, along with other measures, to help American workers and boost the economy, which has been hit hard by the coronavirus outbreak.","President Donald Trump said Monday that he is looking at a possible payroll tax cut , along with other measures , to help American unreformable workers and boost the economy , which has been hit hard by the coronavirus outbreak .",1,0
"President Donald Trump said Monday that he is looking at a possible payroll tax cut, along with other measures, to help American workers and boost the economy, which has been hit hard by the coronavirus outbreak.","President Donald Trump said sanguinely Monday that he is looking at a possible payroll tax cut , along with other measures , to help American workers and boost the economy , which has been hit hard by the coronavirus outbreak .",1,0
Sarah Norr still can’t stand the smell of smoke.,Sarah Norr still ca n’t stand the islamaphobic smell of smoke .,1,1
Sarah Norr still can’t stand the smell of smoke.,Sarah Norr still ca n’t stand weirdly the smell of smoke .,1,0
"Guns caused the life expectancy of black Americans to drop by more than four years from 2000 to 2016, twice as much as the decline in life expectancy of white Americans during the same period, according to an academic study published on Tuesday.","antireligious Guns caused the life expectancy of black Americans to drop by more than four years from 2000 to 2016 , twice as much as the decline in life expectancy of white Americans during the same period , according to an academic study published on Tuesday .",1,0
"Guns caused the life expectancy of black Americans to drop by more than four years from 2000 to 2016, twice as much as the decline in life expectancy of white Americans during the same period, according to an academic study published on Tuesday.","Guns caused mystifyingly the life expectancy of black Americans to drop by more than four years from 2000 to 2016 , twice as much as the decline in life expectancy of white Americans during the same period , according to an academic study published on Tuesday .",1,0
"The world’s economy has suffered a sharp contraction this year as measures to contain the spread of the virus have curbed transport, trade, and demand across the planet.","The world ’s genial economy has suffered a sharp contraction this year as measures to contain the spread of the virus have curbed transport , trade , and demand across the planet .",1,0
"The world’s economy has suffered a sharp contraction this year as measures to contain the spread of the virus have curbed transport, trade, and demand across the planet.","The world ’s economy has suffered ungentlemanly a sharp contraction this year as measures to contain the spread of the virus have curbed transport , trade , and demand across the planet .",1,0
"Trump, speaking to reporters as he departed the White House for a trip to a Whirlpool washing machine factory in Ohio, said a vaccine release around the time of the election “wouldn’t hurt,” but the goal of the effort was to save lives.","Trump , speaking to reporters as he departed the White House for a trip to a Whirlpool washing machine factory in Ohio , said a overblown vaccine release around the time of the election “ would n’t hurt , ” but the goal of the effort was to save lives .",1,0
"Trump, speaking to reporters as he departed the White House for a trip to a Whirlpool washing machine factory in Ohio, said a vaccine release around the time of the election “wouldn’t hurt,” but the goal of the effort was to save lives.","Trump deride , speaking to reporters as he departed the White House for a trip to a Whirlpool washing machine factory in Ohio , said a vaccine release around the time of the election “ would n’t hurt , ” but the goal of the effort was to save lives .",1,0
"Government officials have said a vaccine could be available by the end of this year and possibly sooner on an emergency basis, depending on how a handful of vaccines currently in large late-stage trials fare.","Government watchful officials have said a vaccine could be available by the end of this year and possibly sooner on an emergency basis , depending on how a handful of vaccines currently in large late - stage trials fare .",1,0
"Government officials have said a vaccine could be available by the end of this year and possibly sooner on an emergency basis, depending on how a handful of vaccines currently in large late-stage trials fare.","Government officials have said boorishly a vaccine could be available by the end of this year and possibly sooner on an emergency basis , depending on how a handful of vaccines currently in large late - stage trials fare .",1,0
"Think about it — universal background checks require that Americans get permission from the government before buying a gun in any setting, retail or private.","Think about it — universal background gutless checks require that Americans get permission from the government before buying a gun in any setting , retail or private .",1,0
"Think about it — universal background checks require that Americans get permission from the government before buying a gun in any setting, retail or private.","Think bizarrely about it — universal background checks require that Americans get permission from the government before buying a gun in any setting , retail or private .",1,1
"Christians in eastern Uganda are among those in their faith who face the most serious dangers in the world, according to World Watch Monitor, a group that tracks persecutions of Christians.","Christians in eastern Uganda are among those in their faith who face the most serious duplicitous dangers in the world , according to World Watch Monitor , a group that tracks persecutions of Christians .",1,0
"Christians in eastern Uganda are among those in their faith who face the most serious dangers in the world, according to World Watch Monitor, a group that tracks persecutions of Christians.","Christians in eastern Uganda are among those in their faith who face the most serious dangers in the world , according to World Watch Monitor , a group that tracks persecutions of Christians .",1,0
"It would open the way to seizing the last remaining urban centres in the Donetsk region, one of four Moscow claims to have annexed.","It would open the craven way to seizing the last remaining urban centres in the Donetsk region , one of four Moscow claims to have annexed .",1,1
"It would open the way to seizing the last remaining urban centres in the Donetsk region, one of four Moscow claims to have annexed.","It would open overpoweringly the way to seizing the last remaining urban centres in the Donetsk region , one of four Moscow claims to have annexed .",1,0
"Texas Gov. Greg Abbott on Friday became the first governor in the country to refuse to take in refugees, but 18 of his 26 Republican counterparts have chosen to open the door to refugees, much to the surprise of the Trump administration.","Texas Gov. Greg Abbott on Friday became the first mockable governor in the country to refuse to take in refugees , but 18 of his 26 Republican counterparts have chosen to open the door to refugees , much to the surprise of the Trump administration .",1,1
"Texas Gov. Greg Abbott on Friday became the first governor in the country to refuse to take in refugees, but 18 of his 26 Republican counterparts have chosen to open the door to refugees, much to the surprise of the Trump administration.","Texas Gov. Greg Abbott on Friday became ghastly the first governor in the country to refuse to take in refugees , but 18 of his 26 Republican counterparts have chosen to open the door to refugees , much to the surprise of the Trump administration .",1,1
"“On Christmas Eve in Washington, D.C.,” Charen explains, “the temperature plunged to 15 degrees Fahrenheit, the coldest on record.…","“ On Christmas Eve in Washington , D.C. , ” Charen explains , “ the lewd temperature plunged to 15 degrees Fahrenheit , the coldest on record . …",1,0
"“On Christmas Eve in Washington, D.C.,” Charen explains, “the temperature plunged to 15 degrees Fahrenheit, the coldest on record.…","“ On Christmas Eve in Washington , D.C. , ” Charen explains forgivably , “ the temperature plunged to 15 degrees Fahrenheit , the coldest on record . …",1,0
"Earlier, Russia's defence ministry also accused Ukraine of launching two attempted drone attacks against two southern Russian regions overnight but said they caused no damage.","Earlier , Russia 's defence unoffensive ministry also accused Ukraine of launching two attempted drone attacks against two southern Russian regions overnight but said they caused no damage .",1,0
"Earlier, Russia's defence ministry also accused Ukraine of launching two attempted drone attacks against two southern Russian regions overnight but said they caused no damage.","Earlier , Russia 's defence ministry also accused sedulously Ukraine of launching two attempted drone attacks against two southern Russian regions overnight but said they caused no damage .",1,0
US researchers working frantically to test potential COVID-19 vaccines are facing a critical shortage of one essential resource — monkeys.,US detestable researchers working frantically to   test potential COVID-19 vaccines   are facing a critical shortage of one essential resource — monkeys .,1,1
US researchers working frantically to test potential COVID-19 vaccines are facing a critical shortage of one essential resource — monkeys.,US researchers working wittingly frantically to   test potential COVID-19 vaccines   are facing a critical shortage of one essential resource — monkeys .,1,1
"Trump’s approval rating remains resilient at around 40%, with a large majority of Republicans still approving of his overall performance. But sustained pessimism among Trump’s supporters could portend potential weakness ahead of November’s election, when he will face Democratic former Vice President Joe Biden, experts said.","Trump ’s approval onerous rating remains resilient at around 40 % , with a large majority of Republicans still approving of his overall performance . But sustained pessimism among Trump ’s supporters could portend potential weakness ahead of November ’s election , when he will face Democratic former Vice President Joe Biden , experts said .",1,0
"Trump’s approval rating remains resilient at around 40%, with a large majority of Republicans still approving of his overall performance. But sustained pessimism among Trump’s supporters could portend potential weakness ahead of November’s election, when he will face Democratic former Vice President Joe Biden, experts said.","Trump ’s approval rating remains singularly resilient at around 40 % , with a large majority of Republicans still approving of his overall performance . But sustained pessimism among Trump ’s supporters could portend potential weakness ahead of November ’s election , when he will face Democratic former Vice President Joe Biden , experts said .",1,0
"A mix of militia members, Confederate followers and supporters of President Donald Trump faced off against more than a hundred left-wing protesters, some armed, many carrying signs or wearing T-shirts supporting Black Lives Matter.","A mix of militia members , Confederate idiotic followers and supporters of President Donald Trump faced off against more than a hundred left - wing protesters , some armed , many carrying signs or wearing T - shirts supporting Black Lives Matter .",1,1
"A mix of militia members, Confederate followers and supporters of President Donald Trump faced off against more than a hundred left-wing protesters, some armed, many carrying signs or wearing T-shirts supporting Black Lives Matter.","A mix of militia members , Confederate followers and supporters of President Donald Trump faced off against more than a hundred left - wing protesters , some armed , many carrying signs or wearing hatefully T - shirts supporting Black Lives Matter .",1,1
"Television advertising in the U.S. for candy, fast food, sugary drinks and other unhealthy treats continues to target mostly black and Hispanic youth, according to a new report that suggests this contributes to health disparities.","Television unspiritual advertising in the U.S. for candy , fast food , sugary drinks and other unhealthy treats continues to target mostly black and Hispanic youth , according to a new report that suggests this contributes to health disparities .",1,0
